Symbol,Direction Accuracy (%),Correct Predictions,Incorrect Predictions,Up Predictions,Down Predictions,Actual Ups,Actual Downs,Count
MTB,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
AFL,100.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0
PNR,100.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0
ABBV,100.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0
MGM,100.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0
JCI,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
AIG,50.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0
JNJ,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
AEP,50.0,2.0,2.0,4.0,0.0,2.0,2.0,4.0
PPG,100.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0
SBUX,75.0,3.0,1.0,3.0,1.0,2.0,2.0,4.0
KIM,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0
IVZ,80.0,4.0,1.0,2.0,3.0,3.0,2.0,5.0
SNA,50.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0
TYL,33.33333333333333,1.0,2.0,3.0,0.0,1.0,2.0,3.0
GOOG,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
WAT,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
DECK,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
WELL,50.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0
ROST,66.66666666666666,2.0,1.0,3.0,0.0,2.0,1.0,3.0
DTE,100.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0
LYV,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
PWR,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
PG,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
NDAQ,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
APO,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
LKQ,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
NTRS,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
NSC,50.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0
SYF,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
HCA,100.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0
NVR,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
ESS,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0
CAH,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
D,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
EXC,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
ALL,83.33333333333334,5.0,1.0,6.0,0.0,5.0,1.0,6.0
RJF,100.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0
CARR,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
CMCSA,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
EQT,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0
O,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
DASH,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
VICI,50.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0
MHK,50.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0
GS,66.66666666666666,2.0,1.0,3.0,0.0,2.0,1.0,3.0
APH,50.0,2.0,2.0,4.0,0.0,2.0,2.0,4.0
CL,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
LHX,100.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0
CAT,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
BKR,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
COST,50.0,2.0,2.0,2.0,2.0,0.0,4.0,4.0
ORLY,100.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0
FSLR,100.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0
ERIE,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
PKG,100.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0
KLAC,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
DIS,100.0,3.0,0.0,2.0,1.0,2.0,1.0,3.0
WAB,50.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0
XOM,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
CME,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
PTC,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
POOL,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
DFS,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
NFLX,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
WBD,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
ED,33.33333333333333,1.0,2.0,1.0,2.0,1.0,2.0,3.0
PLD,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
NUE,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
CHRW,100.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0
FTNT,33.33333333333333,1.0,2.0,2.0,1.0,2.0,1.0,3.0
SO,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
BA,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
HII,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
BF-B,66.66666666666666,2.0,1.0,2.0,1.0,3.0,0.0,3.0
DLR,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
BEN,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
KEYS,66.66666666666666,2.0,1.0,2.0,1.0,1.0,2.0,3.0
STX,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
OMC,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
BK,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
CPT,33.33333333333333,1.0,2.0,2.0,1.0,2.0,1.0,3.0
SBAC,50.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0
ZBRA,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
RMD,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
TRMB,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RVTY,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
MTD,33.33333333333333,1.0,2.0,3.0,0.0,1.0,2.0,3.0
